year, genre 
2004,Contemporary Christian music
2004,Contemporary worship music
2004,Urban contemporary gospel
1979,Pop music
1979,Rock music
1979,Children's music
1998,Blues
1998,Southern rock
1998,Blues rock
1997,Progressive rock
1997,Emo
1997,Indie rock
1997,Alternative rock
1997,Math rock
1997,Post-hardcore
1997,Experimental rock
1995,Soul music
1995,Contemporary R&B
1989,Rhythm and blues
1989,Hip hop music
1970,Reggae
1983,Punk rock
1983,Alternative rock
1983,Rap rock
1983,Funk rock
1985,Dancehall
2001,Punk rock
2001,Post-punk
2002,Country music
1988,Musical theatre
1988,Opera
2010,Pop music
2000,Folk music
2000,Pop music
1984,Soul music
1984,New jack swing
1984,Quiet storm
2003,Folk music
2003,Instrumental
2003,Fingerstyle guitar
1987,East Coast hip hop
1987,Golden age hip hop
1984,Pop music
1984,Singer-songwriter
1984,Psychedelic music
2001,Pop music
2001,Rock music
2009,Pop music
0003,Baila
1990,Folk music
1990,Psychedelic rock
1990,Shoegazing
1990,Anti-folk
1990,Experimental music
1985,Death metal
1985,Heavy metal music
1985,Thrash metal
1985,Extreme metal
2007,Pop music
1974,Pop music
1971,Pop music
1862,Zarzuela
1862,Comedy
2010,Rhythm and blues
2010,Soul music
2005,Soul music
2005,Hip hop music
2005,Jazz
2006,Pop music
1980,Reggae
1975,Blues
1975,Folk music
1975,Flamenco
1975,World music
1975,New-age music
1975,Jazz
1975,Music of Ireland
1975,Classical music
1975,Celtic music
1980,Flamenco
1980,Pop rock
2008,Pop music
2006,Pop music
1999,Gospel music
1999,Christian hip hop
1999,Traditional black gospel
1999,Urban contemporary gospel
1999,Christian R&B
1965,Classical music
1965,Frevo
1965,Maracatu
2000,Rock music
2000,Soundtrack
2000,Acoustic music
2000,Pop music
2000,Music of Latin America
1899,Opera
2010,Pop music
1965,Pop music
1930,Blues
1930,Rhythm and blues
1930,Jazz
1990,Electric blues
1952,Blues
1952,Jump blues
1952,Blues rock
1960,Soft rock
1960,Pop rock
1999,New wave music
1999,Indie rock
1999,Garage rock
1999,Post-punk revival
1949,Blues
1959,Country music
1959,Rock and roll
1959,Rhythm and blues
1959,Rockabilly
1970,Art rock
1970,Jazz
1970,Chanson
1930,Detroit blues
1930,Chicago blues
1930,Jump blues
1914,Blues
1914,Jazz
1938,Country music
1941,Gospel music
1979,Pop music
1979,Italo disco
1979,Italo dance
1981,Hi-NRG
1981,Extreme metal
1981,Eurobeat
1981,Italo disco
1956,Music of Latin America
1956,A cappella
1956,Jazz
1995,Reggaeton
1980,Heavy metal music
1980,Christian metal
1922,Son (music)
1922,Conga (music)
1922,Guaguancó
1922,Santería
1922,Abakuá
2013,House music
2013,Pop music
2013,Hip hop music
2012,Pop music
1993,Reggae
1993,Dancehall
2000,Folk music
2000,Indie rock
2000,Alternative rock
2000,Indie pop
1981,Heavy metal music
1981,Hard rock
1981,Glam metal
1992,Reggaeton
1992,Reggae en Español
1966,Progressive rock
1966,Pop rock
2000,Pop music
2000,Rhythm and blues
2000,Hip hop music
1978,Indie pop
1990,Breakbeat
1990,Hardcore punk
1990,Electronica
1990,Digital hardcore
1990,Breakcore
1990,Hardcore (electronic dance music genre)
1990,Industrial hip hop
1979,Hardcore punk
1924,Country blues
1924,Piedmont blues
2000,Country music
1996,Bluegrass music
2012,Country music
1988,Pop music
1988,Pop rock
1988,Rock en español
2001,World music
1980,Rock and roll
1980,Murga
1980,Música_Rioplatense
1992,Bolero
1992,Mariachi
1992,Ranchera
1992,Latin pop
1992,Mexican pop music
1973,Latin pop
1973,Argentine rock
2002,Progressive rock
2002,Ambient music
2002,Progressive metal
2002,Symphonic metal
2002,Gothic metal
2002,Jazz
1989,Latin pop
1999,Speed metal
1999,Progressive metal
1999,Power metal
1999,Groove metal
1990,Pop music
2004,Pop music
2004,Rhythm and blues
2008,Pop music
1946,Narodna muzika
2006,Pop music
2006,Rock music
1994,Rock music
1980,Chanson
1980,Russian chanson
1990,Funk
1990,Pop music
1990,Rhythm and blues
1990,Soul music
2004,Folk music
2004,Pop music
2004,Jazz
1998,Rock music
1998,Pop rock
1997,Pop music
1997,Jazz
1997,Vocal music
1997,Contemporary classical music
1997,Electroacoustic music
